Name,Team,players2.image
Fazalhaq Farooqi,Afghanistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383236.1.png"
Mustafizur Rahman,Bangladesh,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319734.png"
Josh Hazlewood,Australia,
Reece Topley,England,
Saurabh Netravalkar,United States of America,
Obed McCoy,West Indies,
Mark Wood,England,
Ottneil Baartman,South Africa,
Ish Sodhi,New Zealand,
Semo Kamea,Papua New Guinea,
Abinash Bohara,Nepal,
Vivian Kingma,Netherlands,
Nuwan Thushara,Sri Lanka,
Nathan Ellis,Australia,
Brad Wheal,Scotland,
Mark Watt,Scotland,
Chris Sole,Scotland,
Safyaan Sharif,Scotland,
Bilal Khan,Oman,
Mohammad Amir,Pakistan,
Ben White,Ireland,
Jeremy Gordon,Canada,
Junaid Siddiqui,Canada,
Mohammed Siraj,India,
Ben Shikongo,Namibia,
Frank Nsubuga,Uganda,
Brad Currie,Scotland,
Tangeni Lungameni,Namibia,
Craig Young,Ireland,
Henry Ssenyondo,Uganda,
Mujeeb Ur Rahman,Afghanistan,
Mark Wood,,
Jofra Archer,,
Moeen Ali,,
Chris Jordan,,
Adil Rashid,,
Nikhil Dutta,Canada,
